Hour of day,Net sales,Total orders,Total guests
10,681.23,42,58
17,190.38,7,8
14,168.0,11,13
11,536.64,35,38
13,358.29,22,22
7,212.06,18,19
8,469.52,28,33
19,141.27,7,7
15,164.66,12,14
18,40.29,3,3
6,90.21,10,10
12,551.11,31,36
9,488.89,33,36
