Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,458.0,2228.68,8.66,0.0,2237.34,183.81
Drive Thru,347.0,1075.94,13.2,0.0,1089.14,88.69
No Revenue Center,9.0,6.98,16.94,0.0,23.92,0.57
Total,814.0,3311.60,38.80,0.0,3350.40,273.07
