Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1522.6,109,13.97,110,14.98,109,13.97,12.02
Table Service,1789.0,120,14.91,68,28.48,59,30.32,36.43
Total,3311.6,229,14.46,178,20.14,168,19.71,20.59
