Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,63,1826.93,24.72,1851.65,150.67
Drive Thru,88,1219.97,13.2,1233.17,100.56
Take Out,17,264.7,0.88,265.58,21.84
Total,168,3311.60,38.80,3350.40,273.07
