Hour of day,Net sales,Total orders,Total guests
6,26.67,5,5
19,225.77,7,14
17,218.5,6,10
8,276.59,20,29
10,211.79,15,17
11,548.83,17,28
18,121.97,7,10
13,216.57,12,16
15,49.92,4,4
14,208.9,9,13
12,503.77,19,31
20,154.41,4,5
16,71.75,6,6
7,202.38,16,16
9,273.78,21,25
