Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,6.0,22.04,0.0,0.0,22.04,1.82
Dining Room,933.0,3638.54,45.69,0.0,3684.23,299.96
Drive Thru,393.0,1332.93,20.46,0.0,1353.39,109.96
No Revenue Center,20.0,41.72,36.81,0.0,78.53,3.44
Total,1352.0,5035.23,102.96,0.0,5138.19,415.18
