Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2294.33,133,17.25,134,18.53,133,17.25,13.64
Table Service,2740.9,194,14.13,100,29.67,78,35.14,48.40
Total,5035.23,327,15.40,234,23.29,211,23.86,26.49
