Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1774.25,130,13.65,131,14.66,130,13.65,15.84
Table Service,1971.28,113,17.44,61,34.98,51,38.65,44.66
Total,3745.53,243,15.41,192,21.12,181,20.69,23.96
