Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,613.0,2690.82,13.54,0.0,2704.36,221.84
Drive Thru,278.0,1008.79,24.45,0.0,1033.24,83.22
No Revenue Center,20.0,45.92,29.72,0.0,75.64,3.79
Total,911.0,3745.53,67.71,0.0,3813.24,308.85
