Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,182,8025.87,57.04,8082.91,661.75
Drive Thru,246,3764.78,11.22,3776.0,310.25
Take Out,38,705.22,3.9,709.12,58.08
Total,466,12495.87,72.16,12568.03,1030.08
