Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Party Room,138.0,2157.6,0.0,0.0,2157.6,177.91
Dining Room,2992.0,10338.27,72.16,0.0,10410.43,852.17
Total,3130.0,12495.87,72.16,0.0,12568.03,1030.08
