Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,4495.93,291,15.45,290,16.78,291,15.45,13.12
Table Service,7999.94,1441,5.55,234,37.01,175,45.71,50.24
Total,12495.87,1732,7.21,524,25.81,466,26.82,27.06
