Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,38,657.41,10.07,667.48,54.23
Drive Thru,166,1688.43,6.4,1694.83,138.98
Take Out,38,403.86,0.0,403.86,33.27
Total,242,2749.70,16.47,2766.17,226.48
