Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,133,4962.21,73.19,5035.4,409.0
Drive Thru,151,2284.24,13.65,2297.89,188.25
Take Out,30,486.61,0.0,486.61,40.11
Total,314,7733.06,86.84,7819.90,637.36
