Hour of day,Net sales,Total orders,Total guests
11,1153.31,48,73
9,1038.79,50,78
10,1777.3,59,134
7,19.55,1,1
13,1390.83,47,98
12,1274.11,51,101
8,632.33,38,48
14,446.84,20,54
