Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,2265.0,7733.06,86.84,0.0,7819.9,637.36
Total,2265.0,7733.06,86.84,0.0,7819.9,637.36
