Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2805.26,184,15.25,186,16.33,184,15.25,12.83
Table Service,4927.8,403,12.23,149,35.80,130,37.91,41.33
Total,7733.06,587,13.17,335,24.99,314,24.63,24.63
