Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3701.97,273,13.56,275,14.57,273,13.56,8.01
Table Service,4001.24,296,13.52,152,28.49,131,30.54,42.32
Total,7703.21,569,13.54,427,19.53,404,19.07,19.14
