Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,135,4031.05,30.25,4061.3,331.93
Drive Thru,230,3049.41,3.27,3052.68,251.37
Take Out,39,622.75,16.98,639.73,51.29
Total,404,7703.21,50.50,7753.71,634.59
