Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1407.0,5707.39,37.75,0.0,5745.14,470.49
NA Beverage,479.0,999.88,2.22,0.0,1002.1,82.24
Liquor,20.0,138.31,0.0,0.0,138.31,11.42
Bottled Beer,2.0,7.98,0.0,0.0,7.98,0.66
Draft Beer,3.0,26.97,0.0,0.0,26.97,2.23
Total,1911.0,6880.53,39.97,0.0,6920.50,567.04
