Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,131,2057.32,9.56,0.0,2066.88,169.57
Lunch,126,2384.23,15.79,0.0,2400.02,196.42
Dinner,76,1933.66,14.62,0.0,1948.28,159.32
No Service,48,505.32,0.0,0.0,505.32,41.73
Total,381,6880.53,39.97,0.0,6920.50,567.04
