Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,89,2514.36,38.87,2553.23,207.06
Drive Thru,198,2120.93,6.06,2126.99,174.85
Take Out,20,337.97,8.0,345.97,27.86
Total,307,4973.26,52.93,5026.19,409.77
