Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,808.0,2795.08,7.87,0,2802.95,230.13
Drive Thru,409.0,1232.03,0.0,0,1232.03,101.3
Total,1217.0,4027.11,7.87,0,4034.98,331.43
