Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,104,2693.96,76.67,2770.63,221.9
Drive Thru,178,1964.03,12.85,1976.88,161.96
Take Out,20,200.91,0.0,200.91,16.55
Total,302,4858.90,89.52,4948.42,400.41
