Hour of day,Net sales,Total orders,Total guests
9,349.77,31,36
15,279.47,11,19
11,583.59,27,40
19,255.64,8,17
17,253.83,11,14
20,85.97,3,4
18,225.24,10,15
6,91.17,9,10
16,242.72,12,15
8,451.73,40,44
10,645.1,45,60
13,299.87,17,23
7,268.27,31,34
12,641.09,35,51
14,185.44,12,14
