Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2167.23,200,10.84,201,11.67,200,10.84,7.79
Table Service,2691.67,196,13.73,113,25.78,102,26.39,44.46
Total,4858.90,396,12.27,314,16.75,302,16.09,20.17
