Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1262.0,4858.9,89.52,0.0,4948.42,400.41
Total,1262.0,4858.9,89.52,0.0,4948.42,400.41
