Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,456.0,1639.36,9.5,0.0,1648.86,135.21
Drive Thru,489.0,1522.93,0.0,0.0,1522.93,125.51
Total,945.0,3162.29,9.5,0.0,3171.79,260.72
