Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2372.67,147,16.14,147,17.47,147,16.14,5.77
Table Service,789.62,65,12.15,31,27.57,30,26.32,35.81
Total,3162.29,212,14.92,178,19.23,177,17.87,10.86
