Tax rate,Tax amount,Taxable amount
Tax,251.63,3052.29
TX SPECIAL TAX,0.83,110.0
TX CITY TAX,1.38,110.0
TX STATE TAX,6.88,110.0
Non Taxable,0.0,0.0
