Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,32,798.69,0.0,798.69,65.89
Drive Thru,124,1941.15,0.0,1941.15,159.96
Take Out,21,422.45,9.5,431.95,34.87
Total,177,3162.29,9.5,3171.79,260.72
