Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,450.0,1518.55,2.1,0.0,1520.65,125.16
Drive Thru,440.0,1382.14,3.9,0.0,1386.04,113.72
Total,890.0,2900.69,6.0,0.0,2906.69,238.88
