Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,52,1397.36,76.55,1473.91,115.22
Drive Thru,107,1346.14,6.16,1352.3,111.01
Take Out,24,448.57,22.57,471.14,37.0
Total,183,3192.07,105.28,3297.35,263.23
