Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,589.0,2625.5,99.21,0.0,2724.71,216.5
NA Beverage,171.0,504.79,4.53,0.0,509.32,41.66
Liquor,6.0,53.94,0.0,0.0,53.94,4.43
Draft Beer,2.0,7.84,1.54,0.0,9.38,0.64
Total,768.0,3192.07,105.28,0.0,3297.35,263.23
