Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1664.74,130,12.81,129,13.97,130,12.81,14.63
Table Service,1527.33,113,13.52,56,29.52,53,28.82,36.53
Total,3192.07,243,13.14,185,18.68,183,17.44,20.97
