Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1579.0,5417.82,33.81,0,5451.63,446.33
No Revenue Center,3.0,26.32,1.15,0,27.47,2.17
Total,1582.0,5444.14,34.96,0,5479.10,448.50
